candidate_id,epoch,adaptive_enabled,learning_rate,retain_floor,base_retain_weight,base_kl_weight,forget_pressure,retain_dual,effective_retain_weight,effective_kl_weight,next_forget_pressure,next_retain_dual,controller_action,constraint_gap,mean_forget_loss,mean_retain_loss,mean_kl_loss,mean_training_objective,forget_heldout_selection_percentage,retain_heldout_selection_percentage,general_selection_percentage,controller_constraint_satisfied,globally_eligible,selection_score,updated_at_utc,selected_epoch_for_candidate,candidate_adapter_dir
c02_adaptive_floor83_stronger,3,True,3e-05,83.0,1.5,0.5,2.4499999999999997,0.0,1.5,0.5,1.3475,0.04,backoff_constraint_violation,0.005,0.4958710624622836,0.005709887661359971,0.0052410400686767385,-1.203698770662595,61.25000000000001,82.5,56.00000000000001,False,True,39.79999999999999,2026-06-29T14:52:12.596549+00:00,3,/content/unlearning-thesis/Week 7/results/adaptive_constrained_unlearning_v1/candidate_adapters/c02_adaptive_floor83_stronger
c01_adaptive_floor85_balanced,4,True,2e-05,85.0,2.0,0.5,2.4603750000000004,0.0,2.0,0.5,3.321506250000001,0.0,increase_forget_pressure,-0.025,0.37048852168452867,0.0019001076059794286,0.0015394651801034342,-0.9069707643797664,68.75,87.5,56.00000000000001,True,True,33.8,2026-06-29T14:27:09.877437+00:00,4,/content/unlearning-thesis/Week 7/results/adaptive_constrained_unlearning_v1/candidate_adapters/c01_adaptive_floor85_balanced
c03_adaptive_floor82_aggressive,1,True,5e-05,82.0,1.5,0.25,1.5,0.0,1.5,0.25,2.0250000000000004,0.0,increase_forget_pressure,-0.02,0.0022883147283573636,0.0021944700787571493,0.0007735926155737616,5.263116596324835e-05,80.0,91.875,52.0,True,True,23.2625,2026-06-29T15:14:16.314033+00:00,1,/content/unlearning-thesis/Week 7/results/adaptive_constrained_unlearning_v1/candidate_adapters/c03_adaptive_floor82_aggressive
