candidate_id,best_trial,accepted_blocks,selection_forget_percentage,selection_retain_percentage,selection_general_percentage,selection_lab_retain_percentage,feasible,selection_score,best_adapter_kind,learning_rate,forget_pressure,retain_weight,kl_weight
r02_rollback_lab_guarded,3,1,91.25,93.125,56.00000000000001,75.0,True,12.087500000000002,release_asset,7.5e-06,0.5281250000000001,2.75,0.5
r01_rollback_boundary_balanced,0,0,91.25,92.5,56.00000000000001,71.875,False,-966.78125,source_week35,2e-05,0.0,2.0,0.75
