candidate_id,epoch,learning_rate,retain_weight,kl_weight,forget_scale,projection_strength,mean_forget_loss,mean_retain_loss,mean_kl_loss,mean_gradient_cosine,conflict_rate,projection_rate,forget_heldout_selection_percentage,retain_heldout_selection_percentage,retain_eligible,selection_score,updated_at_utc,selected_epoch_for_candidate,candidate_adapter_dir
c02_pcgrad_balanced,4,2e-05,2.0,0.5,1.0,1.0,0.446781540501579,0.010538025445985113,0.010211552615828623,-0.0038261883192793607,0.56,0.56,61.25000000000001,87.5,True,39.62499999999999,2026-06-23T17:23:13.104246+00:00,4,/content/unlearning-thesis/Week 6/results/constrained_gradient_unlearning_v1/candidate_adapters/c02_pcgrad_balanced
c01_pcgrad_higher_kl,4,2e-05,2.0,1.0,1.0,1.0,0.3421825826321583,0.0014484490242466564,0.0013273969057036083,-0.009245716067477401,0.69,0.69,70.0,86.25,True,30.4375,2026-06-23T17:00:31.108854+00:00,4,/content/unlearning-thesis/Week 6/results/constrained_gradient_unlearning_v1/candidate_adapters/c01_pcgrad_higher_kl
c03_pcgrad_aggressive_guarded,1,5e-05,2.0,1.0,0.75,1.0,0.0017761621881072643,0.0016032529203221203,0.0003591749521137899,-0.005603164538151157,0.65,0.65,80.0,90.625,True,21.96875,2026-06-23T17:34:46.334575+00:00,1,/content/unlearning-thesis/Week 6/results/constrained_gradient_unlearning_v1/candidate_adapters/c03_pcgrad_aggressive_guarded
